session_test_id,trial_id,rating_stimulus,rating_score,rating_time,Reference Exclude
mss,trial1,reference,100,190057,n
mss,trial1,C4,67,190057,n
mss,trial1,C2,53,190057,n
mss,trial2,C2,0,78672,y
mss,trial2,anchor70,39,78672,y
mss,trial2,C4,7,78672,y
mss,trial2,C3,91,78672,y
mss,trial2,C5,43,78672,y
mss,trial2,C1,4,78672,y
mss,trial2,reference,70,78672,y
mss,trial2,anchor35,25,78672,y
mss,trial3,anchor70,66,96072,n
mss,trial3,anchor35,54,96072,n
mss,trial3,C1,17,96072,n
mss,trial3,C3,86,96072,n
mss,trial3,C5,23,96072,n
mss,trial3,reference,88,96072,n
mss,trial3,C4,5,96072,n
mss,trial3,C2,0,96072,n
mss,trial4,reference,84,64275,n
mss,trial4,C2,71,64275,n
mss,trial4,anchor35,43,64275,n
mss,trial4,C4,31,64275,n
mss,trial4,C3,27,64275,n
mss,trial4,C1,59,64275,n
mss,trial4,anchor70,92,64275,n
mss,trial5,C3,9,59827,n
mss,trial5,C1,100,59827,n
mss,trial5,anchor35,31,59827,n
mss,trial5,reference,100,59827,n
mss,trial5,C2,67,59827,n
mss,trial5,anchor70,45,59827,n
mss,trial5,C4,12,59827,n
mss,trial1,anchor70,70,131402,n
mss,trial1,reference,100,131402,n
mss,trial1,C4,0,131402,n
mss,trial1,C2,0,131402,n
mss,trial1,anchor35,50,131402,n
mss,trial1,C5,10,131402,n
mss,trial1,C1,0,131402,n
mss,trial1,C3,90,131402,n
mss,trial2,C2,10,113416,n
mss,trial2,C3,100,113416,n
mss,trial2,C1,0,113416,n
mss,trial2,C5,0,113416,n
mss,trial2,reference,100,113416,n
mss,trial2,anchor35,15,113416,n
mss,trial2,anchor70,35,113416,n
mss,trial2,C4,0,113416,n
mss,trial3,anchor35,30,64648,n
mss,trial3,C1,0,64648,n
mss,trial3,C5,0,64648,n
mss,trial3,anchor70,50,64648,n
mss,trial3,C2,5,64648,n
mss,trial3,reference,100,64648,n
mss,trial3,C3,100,64648,n
mss,trial3,C4,0,64648,n
mss,trial4,C3,10,71124,n
mss,trial4,anchor70,80,71124,n
mss,trial4,anchor35,40,71124,n
mss,trial4,reference,100,71124,n
mss,trial4,C2,50,71124,n
mss,trial4,C1,50,71124,n
mss,trial4,C4,0,71124,n
mss,trial5,C1,50,46108,n
mss,trial5,anchor35,20,46108,n
mss,trial5,anchor70,30,46108,n
mss,trial5,C4,0,46108,n
mss,trial5,C3,0,46108,n
mss,trial5,C2,70,46108,n
mss,trial5,reference,100,46108,n
mss,trial1,C2,56,343653,n
mss,trial1,C1,53,343653,n
